Call Number,Author,Title,Barcode,Year,Date Acquired,Status,Circs
F HYD,"Hyde, Spencer.",What the other three don't know,,2020,8/28/2020,Follett eBook,0
F HYD,"Hyder, Liz,",Bearmouth,3043700016758,2020,12/14/2020,Checked Out,1
F I,compiled by Grace Kendall.,I see reality : twelve stories about real life,3043700012800,2016,12/5/2019,Available,0
F IAC,"Iacopelli, Jennifer,",Break the fall,3043700016767,2020,12/14/2020,Available,0
F IBA,"Ibañez, Isabel (Novelist),",Woven in moonlight,3043700016877,2020,12/14/2020,Lost,1
F IBA,"Ibañez, Isabel (Novelist)",Written in starlight,3043700071395,2021,9/30/2022,Available,0
F IBB,"Ibbotson, Eva.",The dragonfly pool,3043700014010,2009,12/5/2019,Available,0
F IFU,"Ifueko, Jordan.",Raybearer,,2020,8/28/2020,Follett eBook,0
F IFU,"Ifueko, Jordan,",Raybearer,3043700016829,2020,12/14/2020,Available,2
F ILO,"Iloh, Candice.",Every body looking,,2020,2/12/2021,Follett eBook,0
F ILO,"Iloh, Candice.",Every body looking,3043700017075,2020,12/14/2020,Available,1
F ING,"Inglis, Lucy,",Crow Mountain,3043700008562,2016,8/9/2019,Available,0
F ING,"Ingold, Jeanette.",Hitch,3043700009781,2006,8/9/2019,Available,0
F IRE,"Ireland, Justina.",Deathless divide,,2020,8/28/2020,Follett eBook,0
F IRE,"Ireland, Justina,",Deathless divide,3043700016209,2020,5/20/2020,Available,0
F IRE,"Ireland, Justina.",Dread nation,,2018,9/3/2019,Follett eBook,0
F IRE,"Ireland, Justina.",Dread nation,3043700012705,2018,12/5/2019,Available,0
F IRE,"Ireland, Justina,",Promise of shadows,3043700010947,2014,8/9/2019,Available,0
F IRE,"Ireland, Justina.",Scream Site,3043700011284,2018,8/9/2019,Available,2
F IRE,"Ireland, Justina,",Vengeance bound,3043700012145,2013,8/9/2019,Available,0
F IRV,"Irving, John, 1942-",A prayer for Owen Meany,3043700010888,2013,8/9/2019,Available,1
F ISB,"Isbell, Tom, 1957-",The capture,3043700015023,2016,12/5/2019,Available,0
F ISB,"Isbell, Tom, 1957-",The prey,3043700010905,2015,8/9/2019,Checked Out,1
F ISB,"Isbell, Tom, 1957-",The release,3043700011071,2018,8/9/2019,Available,0
F ISE,"Iserson, David.",Firecracker,3043700009001,2013,8/9/2019,Available,0
F ISH,"Ishiguro, Kazuo, 1954-",Never let me go,3043700014560,2006,12/5/2019,Available,3
F ISR,"Israel, Julie, 1988-",Juniper Lemon's happiness index,,2019,8/28/2020,Follett eBook,0
F ISR,"Israel, Julie, 1988-",Juniper Lemon's happiness index,3043700013322,2017,12/5/2019,Available,0
F ITU,"Iturbe, Antonio, 1967-",The librarian of Auschwitz,,2017,9/3/2019,Follett eBook,0
F ITU,"Iturbe, Antonio, 1967-",The librarian of Auschwitz,3043700010223,2017,8/9/2019,Available,0
F IUS,"Ius, Dawn.",Lizzie,3043700013772,2018,12/5/2019,Available,0
F IUS,"Ius, Dawn,",Overdrive,3043700013003,2017,12/5/2019,Available,0
F IVE,"Ivey, Eowyn,",To the bright edge of the world : a novel,3043700015357,2017,12/5/2019,Available,0
F IWE,"Iweala, Uzodinma.",Speak no evil : a novel,3043700011627,2018,8/9/2019,Available,0
F JAC,"Jack, Gordon, 1966-",The boomerang effect,3043700008236,2016,8/9/2019,Available,0
F JAC,"Jack, Gordon, 1966-",Your own worst enemy,3043700014156,2018,12/5/2019,Available,1
F JAC,"Jackson, Alison, 1953-",I know an old lady who swallowed a pie,3043700009887,2002,8/9/2019,Available,0
F JAC,"Jackson, Corrine.",If I lie,3043700012807,2012,12/5/2019,Available,0
F JAC,"Jackson, Holly, 1992-",A good girl's guide to murder,3043700017734,2021,5/10/2022,Checked Out,4
F JAC,"Jackson, Holly, 1992-",A good girl's guide to murder,3043700071331,2019,3/22/2022,Checked Out,3
F JAC,"Jackson, Jeremy.",Life at these speeds,3043700014539,2003,12/5/2019,Available,0
F JAC,"Jackson, Joshilyn.",A grown-up kind of pretty,3043700014677,2012,12/5/2019,Available,0
F JAC,"Jackson, Mary Cecilia.",Sparrow,,2020,8/28/2020,Follett eBook,0
F JAC,"Jackson, Melanie,",The big dip,3043700008124,2009,8/9/2019,Available,0
F JAC,"Jackson, Melanie, 1956-",Eye sore,3043700008861,2015,8/9/2019,Available,0
F JAC,"Jackson, Melanie, 1956-",Fast slide,3043700008915,2010,8/9/2019,Available,0
F JAC,"Jackson, Shay.",Blind trust,3043700015426,2012,12/5/2019,Available,0
F JAC,"Jackson, Shay.",Keepin' her man,3043700015464,2012,12/5/2019,Available,0
F JAC,"Jackson, Shirley, 1916-1965.",The haunting of Hill House,3043700009718,2006,8/9/2019,Available,3
F JAC,"Jackson, Tiffany D.,",Allegedly : a novel,3043700002754,2017,8/9/2019,Available,0
F JAC,"Jackson, Tiffany D.",Grown,,2020,2/12/2021,Follett eBook,0
F JAC,"Jackson, Tiffany D.",Grown,3043700016795,2020,12/14/2020,Available,0
F JAC,"Jackson, Tiffany D.",Grown,3043700016796,2020,12/14/2020,Available,0
F JAC,"Jackson, Tiffany D.",Let me hear a rhyme,3043700017457,2020,12/14/2020,Available,0
F JAC,"Jackson, Tiffany D.",Monday's not coming,3043700013826,2018,12/5/2019,Available,1
F JAC,"Jackson, Tiffany D.",White smoke,3043700071372,2021,9/30/2022,Available,0
F JAC,"Jacobs, Evan,",Screaming quietly,3043700011285,2013,8/9/2019,Available,0
F JAC,"Jacobs, Evan,",Self. Destructed.,3043700011334,2014,8/9/2019,Available,0
F JAC,"Jacobs, Evan, 1973-",Skinhead Birdy,3043700015492,2015,12/5/2019,Available,0
F JAC,"Jacobs, Evan, 1973-",Varsity 170,3043700012137,2015,8/9/2019,Available,0
F JAC,"Jacobs, John Hornor.",The Conformity,,2015,9/26/2019,Follett eBook,0
F JAC,"Jacobs, John Hornor.",The Conformity,3043700008501,2015,8/9/2019,Available,0
F JAC,"Jacobs, John Hornor.",The Shibboleth,,2014,9/26/2019,Follett eBook,0
F JAC,"Jacobs, John Hornor.",The Shibboleth,3043700011427,2014,8/9/2019,Available,0
F JAC,"Jacobs, John Hornor.",The twelve-fingered boy,,2013,9/26/2019,Follett eBook,0
F JAC,"Jacobs, John Hornor.",The twelve-fingered boy,3043700012017,2013,8/9/2019,Available,0
F JAD,"Jaden, Denise.",Losing Faith,3043700010322,2010,8/9/2019,Available,0
F JAE,"Jae, Ava.",Beyond the red,,2016,9/26/2019,Follett eBook,0
F JAE,"Jae, Ava,",Beyond the red,3043700012542,2016,8/9/2019,Available,1
F JAE,"Jae, Ava.",Into the black,3043700013736,2017,12/5/2019,Available,0
F JAE,"Jae-Jones, S.,",Shadowsong,3043700013433,2018,12/5/2019,Available,1
F JAE,"Jae-Jones, S.",Wintersong,3043700013545,2017,12/5/2019,Available,1
F JAI,"Jaigirdar, Adiba,",The henna wars,3043700017101,2020,12/14/2020,Checked Out,3
F JAL,"Jalaluddin, Uzma.",Ayesha at last,3043700016514,2019,5/20/2020,Available,1
F JAM,"James, Lauren,",The next together,3043700010568,,8/9/2019,Available,0
F JAM,"James, Rory.",Some girls bind,3043700013902,2019,12/5/2019,Available,0
F JAM,"James, Steven, 1969-",Blur,3043700012622,2014,12/5/2019,Available,0
F JAM,"James, Steven, 1969-",Fury,3043700012747,2015,12/5/2019,Available,0
F JAM,"James, Vic,",Gilded cage,3043700015533,2017,12/5/2019,Available,0
F JAM,"James, Vic,",Tarnished city,3043700015168,2018,12/5/2019,Available,0
F JAR,"Jarrar, Randa.",A map of home : a novel,3043700010402,2009,8/9/2019,Available,0
F JAR,"Jarzab, Anna.",Breath like water,3043700016768,2020,12/14/2020,Available,0
F JAR,"Jarzab, Anna,",Red dirt,3043700011049,2017,8/9/2019,Available,0
F JAR,"Jarzab, Anna.",Tandem,3043700011816,2015,8/9/2019,Available,0
F JAS,"Jasinska, Alicia.",Dark tide,3043700017054,2020,12/14/2020,Available,0
F JAS,"Jasinska, Alicia,",The midnight girls,3043700071349,2022,9/30/2022,Available,0
F JAS,"Jaskulka, Marie.",The lost marble notebook of Forgotten Girl & Random Boy,,2015,9/26/2019,Follett eBook,0
F JAS,"Jaskulka, Marie,",The lost marble notebook of Forgotten Girl & Random Boy,3043700013783,2015,12/5/2019,Available,0
F JAS,"Jasper, Rick, 1948-",The catch,3043700008371,2012,8/9/2019,Available,0
F JAS,"Jasper, Rick, 1948-",Out of control,3043700010770,2012,8/9/2019,Available,0
F JAY,"Jay, Stacey.",Of beast and beauty,,2019,9/3/2019,Follett eBook,0
F JAY,"Jay, Stacey,",Of beast and beauty,3043700010687,2014,8/9/2019,Available,0
F JAY,"Jay, Stacey,",Princess of thorns,3043700014061,2016,12/5/2019,Available,0
F JAY,"Jayne, Hannah,",The escape,3043700009228,2015,8/9/2019,Available,0
F JAY,"Jayne, Hannah,",See Jane run,3043700011326,2014,8/9/2019,Available,0
F JAY,"Jayne, Hannah,","Truly, madly, deadly",3043700015571,2013,12/5/2019,Available,0
F JAY,"Jayne, Hannah.",Twisted,,2016,9/26/2019,Follett eBook,0
F JEA,"Jean, Emiko,",Empress of all seasons,3043700013239,2018,12/5/2019,Available,0
F JEA,"Jean, Emiko.",Tokyo ever after,3043700017757,2021,5/10/2022,Available,0
F JEA,"Jean, Emiko.",We'll never be apart,3043700012268,2015,8/9/2019,Available,0
F JEM,"Jemisin, N. K.,",How long 'til black future month?,3043700009829,2018,8/9/2019,Available,3
F JEN,"Jenkins, A. M. (Amanda McRaney)",Night road,3043700010574,2008,8/9/2019,Available,0
F JEN,"Jenkins, A. M. (Amanda McRaney)",Repossessed,3043700011080,2009,8/9/2019,Available,0
F JEN,"Jennings, Holly, 1985-",Arena,3043700003273,2016,8/9/2019,Available,0
F JEN,"Jensen, Cordelia.",The way the light bends,3043700012242,2018,8/9/2019,Available,0
F JEN,"Jensen, Danielle L.,",Dark Shores,3043700017557,2020,1/22/2021,Available,0
F JEN,"Jensen, Danielle L.,",Dark Skies,3043700017053,2020,12/14/2020,Available,0
F JEN,"Jensen, Lisa, 1952-",Beast : a tale of love and revenge,3043700003394,2018,8/9/2019,Available,0
F JEN,"Jensen, Michael R., 1978-",Woven,3043700014149,2015,12/5/2019,Available,0
F JIL,"Jiles, Paulette, 1943-",News of the world : a novel,3043700010564,2016,8/9/2019,Available,0
F JIM,"Jiménez, Francisco, 1943-",Breaking through,3043700012635,2001,12/5/2019,Available,0
F JIM,"Jiménez, Francisco, 1943-",The circuit : stories from the life of a migrant child,3043700008434,1999,8/9/2019,Available,0
F JIM,"Jiménez, Francisco, 1943-",Reaching out,,2008,9/26/2019,Follett eBook,0
F JIM,"Jiménez, Francisco, 1943-",Reaching out,3043700014600,2008,12/5/2019,Available,0
F JIM,"Jiménez, Joe.",Bloodline,,2016,9/26/2019,Follett eBook,0
F JIM,"Jiménez, Joe.",Bloodline,3043700015674,2016,5/20/2020,Available,0
F JIN,"Jinks, Catherine.",Evil genius,3043700008832,2008,8/9/2019,Available,1
F JIN,"Jinks, Catherine.",Genius squad,,2008,9/26/2019,Follett eBook,0
F JIN,"Jinks, Catherine.",Genius squad,3043700009489,2008,8/9/2019,Available,0
F JIN,"Jinks, Catherine.",The genius wars,3043700009490,2010,8/9/2019,Available,0
F JIN,"Jinks, Catherine.",The reformed vampire support group,3043700014068,2009,12/5/2019,Available,0
F JOC,"Jocelyn, Marthe.",A big dose of lucky,3043700015005,2015,12/5/2019,Available,0
F JOC,"Jocelyn, Marthe,",Would you,3043700013552,2008,12/5/2019,Available,0
F JOE,"Joelson, Penny.",I have no secrets,,2019,8/28/2020,Follett eBook,0
F JOE,"Joern, Pamela Carter, 1948-",The floor of the sky,3043700012556,2006,8/9/2019,Available,0
F JOH,"Johansen, Erika.",The fate of the Tearling : a novel,3043700008923,2017,8/9/2019,Available,0
F JOH,"Johansen, Erika,",Invasion of the Tearling,3043700009974,2015,8/9/2019,Available,0
F JOH,"Johansen, Erika.",The queen of the Tearling : a novel,3043700010981,2015,8/9/2019,Available,0
F JOH,"Johansson, J. R., 1978-",Cut me free,3043700008595,2015,8/9/2019,Available,0
F JOH,"Johansson, J. R., 1978-",Insomnia,3043700009964,2013,8/9/2019,Available,0
F JOH,"Johansson, J. R., 1978-",The row,3043700011171,2016,8/9/2019,Available,0
F JOH,"John, Antony.",Five flavors of Dumb,3043700009285,2011,8/9/2019,Available,0
F JOH,"John, Elnathan, 1982-",Born on a Tuesday : a novel,3043700015221,2015,12/5/2019,Available,0
F JOH,"John, Jory.",The bad seed,3043700003364,2017,8/9/2019,Available,5
F JOH,"Johnson, Abigail, 1980-",Even if I fall,3043700009242,2019,8/9/2019,Available,0
F JOH,"Johnson, Abigail, 1980-",Every other weekend,3043700017249,2020,12/14/2020,Available,1
F JOH,"Johnson, Abigail, 1980-",The first to know,3043700009275,2017,8/9/2019,Available,0
F JOH,"Johnson, Alaya Dawn, 1982-",Love is the drug,3043700013790,2014,12/5/2019,Available,0
F JOH,"Johnson, Alaya Dawn, 1982-",The summer prince,3043700013106,2013,12/5/2019,Available,0
F JOH,"Johnson, Angela, 1961-",A certain October,,2013,9/3/2019,Follett eBook,0
F JOH,"Johnson, Angela, 1961-",A certain October,3043700008381,2012,8/9/2019,Available,0
F JOH,"Johnson, Angela, 1961-",The first part last,3043700009270,2003,8/9/2019,Available,0
F JOH,"Johnson, Angela, 1961-",Heaven,3043700013693,1998,12/5/2019,Available,0
F JOH,"Johnson, Angela, 1961-",Looking for Red,3043700010313,2003,8/9/2019,Available,0
F JOH,"Johnson, Angela, 1961-","Sweet, hereafter",3043700013923,2010,12/5/2019,Available,0
F JOH,"Johnson, Erin, 1970-",Grace and the Guiltless,3043700009641,2015,8/9/2019,Available,0
F JOH,"Johnson, Erin, 1970-",Her cold revenge,3043700009753,2015,8/9/2019,Available,0
F JOH,"Johnson, Harriet McBryde.",Accidents of nature,3043700002657,2006,8/9/2019,Available,0
F JOH,"Johnson, J. J., 1973-",Believarexic,,2015,9/26/2019,Follett eBook,0
F JOH,"Johnson, J. J., 1973-",Believarexic,3043700008086,2015,8/9/2019,Lost,4
F JOH,"Johnson, J. J., 1973-",The theory of everything,3043700011849,2012,8/9/2019,Available,0
F JOH,"Johnson, J. J., 1973-",This girl is different,3043700011872,2011,8/9/2019,Available,0
F JOH,"Johnson, Kij,",The dream-quest of Vellitt Boe,3043700014662,2016,12/5/2019,Available,0
F JOH,"Johnson, Kim, 1979-",This is my America,,2020,8/28/2020,Follett eBook,0
F JOH,"Johnson, Kim, 1979-",This is my America,3043700016854,2020,12/14/2020,Available,0
F JOH,"Johnson, Kim, 1979-",This is my America,3043700016855,2020,12/14/2020,Checked Out,2
F JOH,"Johnson, Kristin F., 1968-",Black blizzard,3043700008139,2017,8/9/2019,Available,0
F JOH,"Johnson, Kristin F., 1968-",Deep freeze,3043700008723,2017,8/9/2019,Available,0
F JOH,"Johnson, Kristin F., 1968-",Wall of water,3043700012202,2017,8/9/2019,Available,0
F JOH,"Johnson, Leah (Young adult author)",You should see me in a crown,,2020,2/12/2021,Follett eBook,0
F JOH,"Johnson, Leah (Young adult author)",You should see me in a crown,3043700016879,2020,12/14/2020,Available,3
F JOH,"Johnson, Lora Beth,",Goddess in the machine,3043700016793,2020,12/14/2020,Available,0
F JOH,"Johnson, LouAnne.",Muchacho a novel,,2012,9/3/2019,Follett eBook,0
F JOH,"Johnson, LouAnne.",Muchacho : a novel,3043700014556,2011,12/5/2019,Available,0
F JOH,"Johnson, Maureen, 1973-",13 little blue envelopes,3043700002616,2005,8/9/2019,Available,0
F JOH,"Johnson, Maureen, 1973-",The hand on the wall,3043700016238,2020,5/20/2020,Available,1
F JOH,"Johnson, Maureen, 1973-",The last little blue envelope,3043700010147,2011,8/9/2019,Available,0
F JOH,"Johnson, Maureen, 1973-",The madness underneath,3043700010372,2013,8/9/2019,Available,0
F JOH,"Johnson, Maureen, 1973-",The name of the star,3043700010535,2011,8/9/2019,Available,0
F JOH,"Johnson, Maureen, 1973-",The shadow cabinet,3043700011372,2016,8/9/2019,Available,0
F JOH,"Johnson, Maureen, 1973-",Truly devious,,2018,9/3/2019,Follett eBook,0
F JOH,"Johnson, Maureen, 1973-",Truly Devious,3043700011993,2018,8/9/2019,Available,2
F JOH,"Johnson, Maureen, 1973-",The vanishing stair,3043700012134,2019,8/9/2019,Available,1
F JOH,"Johnson, Shawn, 1992-",The flip side,3043700009306,2016,8/9/2019,Available,0
F JOH,"Johnston, E. K.",The afterward,3043700002693,2019,8/9/2019,Available,0
F JOH,"Johnston, E. K.","Exit, pursued by a bear",3043700008841,2016,8/9/2019,Available,0
F JOH,"Johnston, E. K.",Prairie fire,,2015,9/26/2019,Follett eBook,0
F JOH,"Johnston, E. K.",Prairie fire,3043700010886,2015,8/9/2019,Available,0
F JOH,"Johnston, E. K.",Spindle,3043700011644,2016,8/9/2019,Available,0
F JOH,"Johnston, E. K.",Star wars Ahsoka,,2016,9/26/2019,Follett eBook,0
F JOH,"Johnston, E. K.",Star wars Ahsoka,,2017,9/3/2019,Follett eBook,0
F JOH,"Johnston, E. K.,",Star wars. Ahsoka,3043700014790,2017,12/5/2019,Available,0
F JOH,"Johnston, E. K.,",Star wars. Queen's shadow,3043700011668,2019,8/9/2019,Available,1
F JOH,"Johnston, E. K.",The story of Owen : dragon slayer of Trondheim,3043700011727,2014,8/9/2019,Available,1
F JOH,"Johnston, E. K.",That inevitable Victorian thing,,2017,9/3/2019,Follett eBook,0
F JOH,"Johnston, E. K.,",That inevitable Victorian thing,3043700011840,2017,8/9/2019,Available,0
F JOH,"Johnston, E. K.",A thousand nights,3043700011910,2015,8/9/2019,Available,1
F JOH,"Johnston, Jeffry W.,",The truth,3043700013484,2016,12/5/2019,Available,0
F JOH,"Johnston, Julie.",Little red lies,3043700013335,2013,12/5/2019,Available,0
F JOH,"Johnston, Tony, 1942-",Beast rider : a boy's journey beyond the border,3043700003398,2019,8/9/2019,Available,0
F JOH,"Johnston, Tony, 1942-",Bone by bone by bone,3043700008215,2007,8/9/2019,Available,0
F JOH,"Johnstone, Ian,",The bell between worlds,3043700008087,2015,8/9/2019,Checked Out,1
F JOH,"Johnstone, Ian,",Circles of stone,3043700008433,2015,8/9/2019,Checked Out,1
F JOL,"Jolin, Paula.",In the name of God,3043700009936,2008,8/9/2019,Available,0
F JON,"Jones, Adam Garnet,",Fire song,3043700008995,2018,8/9/2019,Available,0
F JON,"Jones, Diana Wynne.",Fire and hemlock,3043700008987,2012,8/9/2019,Available,0
F JON,"Jones, Diana Wynne.",House of many ways,3043700014513,2008,12/5/2019,Available,3
F JON,"Jones, Diana Wynne.",Howl's moving castle,3043700014690,2008,12/5/2019,Checked Out,3
F JON,"Jones, Edward P.",The known world,3043700010112,2003,8/9/2019,Available,0
F JON,"Jones, Gareth P.",No true Echo,,2015,9/26/2019,Follett eBook,0
F JON,"Jones, Gareth P.",No true Echo,3043700010623,2015,8/9/2019,Available,0
F JON,"Jones, Jada.",Bein' good,3043700015419,2012,12/5/2019,Available,0
F JON,"Jones, Jada.",Fitting in,3043700015062,2012,12/5/2019,Available,0
F JON,"Jones, Jada.",Holding back,3043700015457,2012,12/5/2019,Available,0
F JON,"Jones, Jaida,",Master of one,3043700017388,2020,12/14/2020,Available,1
F JON,"Jones, Kari, 1966-",Out of season,3043700010777,2012,8/9/2019,Available,0
F JON,"Jones, Kari, 1966-",Storm tide,3043700011722,2011,8/9/2019,Available,0
F JON,"Jones, Kelly (Kelly Anne), 1976-","Murder, magic, and what we wore",3043700013378,2017,12/5/2019,Available,0
F JON,"Jones, Kimberly (Kimberly Latrice)",I'm not dying with you tonight,,2019,8/28/2020,Follett eBook,0
F JON,"Jones, Kimberly (Kimberly Latrice),",I'm not dying with you tonight,3043700017112,2019,12/14/2020,Available,0
F JON,"Jones, Kimberly (Kimberly Latrice)",Why we fly,3043700017741,2021,5/10/2022,Available,0
F JON,"Jones, Lloyd, 1955-",Mister Pip,3043700010482,2008,8/9/2019,Available,0
F JON,"Jones, Patrick, 1961-",Always faithful,3043700002774,2015,8/9/2019,Available,0
F JON,"Jones, Patrick, 1961-",At all costs,3043700003322,2014,8/9/2019,Available,0
F JON,"Jones, Patrick, 1961-",Barrier,3043700003378,2014,8/9/2019,Available,0
F JON,"Jones, Patrick, 1961-",Body shot,3043700013984,2013,12/5/2019,Available,0
F JON,"Jones, Patrick, 1961-",Bridge,3043700008273,2014,8/9/2019,Available,0
F JON,"Jones, Patrick, 1961-",Collateral damage,3043700008474,2015,8/9/2019,Available,0
F JON,"Jones, Patrick, 1961-",Combat zone,3043700008480,2015,8/9/2019,Available,0
F JON,"Jones, Patrick, 1961-",Drift : Nissan Skyline,3043700009122,2013,8/9/2019,Checked Out,1
F JON,"Jones, Patrick, 1961-",Freedom flight,3043700009396,2015,8/9/2019,Available,0
F JON,"Jones, Patrick, 1961-",Friend or foe,3043700009410,2016,8/9/2019,Available,0
F JON,"Jones, Patrick, 1961-",Guarding secrets,3043700015698,2015,5/20/2020,Available,0
F JON,"Jones, Patrick, 1961-",Head kick,3043700015699,2013,5/20/2020,Available,0
F JON,"Jones, Patrick, 1961-",On guard,3043700014046,2016,12/5/2019,Available,0
F JON,"Jones, Patrick, 1961-",Out of the tunnel,3043700014053,2014,12/5/2019,Available,0
F JON,"Jones, Patrick, 1961-",Outburst,3043700010783,2014,8/9/2019,Available,0
F JON,"Jones, Patrick, 1961-",Pass it forward,3043700014054,2016,12/5/2019,Available,0
F JON,"Jones, Patrick, 1961-",Side control,3043700014079,2013,12/5/2019,Available,0
F JON,"Jones, Patrick, 1961-",Slammed : Honda Civic,3043700011530,2013,8/9/2019,Available,0
F JON,"Jones, Patrick, 1961-",Target,3043700011820,2014,8/9/2019,Available,0
F JON,"Jones, Patrick, 1961-",To the point,3043700014089,2016,12/5/2019,Available,0
F JON,"Jones, Patrick, 1961-",Triangle choke,3043700014093,2013,12/5/2019,Available,0
F JON,"Jones, Tayari.",Silver sparrow : a novel,3043700011483,2012,8/9/2019,Available,0
F JON,"Jones, Traci L.",Standing against the wind,3043700011666,2010,8/9/2019,Available,0
F JOR,"Jordan, Cat.",Eight days on planet Earth,3043700009157,2017,8/9/2019,Available,0
F JOR,"Jordan, Cat.",The leaving season,3043700012884,2016,12/5/2019,Available,0
F JOR,"Jordan, Hillary, 1963-",Mudbound,3043700014557,2017,12/5/2019,Available,0
F JOR,"Jordan, Jesse.",This is not the end,,2016,9/26/2019,Follett eBook,0
F JOR,"Jordan, Sophie.",Firelight,3043700009005,2010,8/9/2019,Available,0
F JOR,"Jordan, Sophie.",Hidden,3043700009762,2012,8/9/2019,Available,0
F JOR,"Jordan, Sophie.",The me I meant to be,3043700013362,2019,12/5/2019,Available,0
F JOR,"Jordan, Sophie.",Reign of shadows,3043700011064,2016,8/9/2019,Available,0
F JOR,"Jordan, Sophie,",Rise of fire,3043700011128,2018,8/9/2019,Available,0
F JOR,"Jordan, Sophie.",Uninvited,3043700012073,2014,8/9/2019,Available,2
F JOR,"Jordan, Sophie,",Unleashed,3043700012081,2015,8/9/2019,Available,0
F JOR,"Jordan, Sophie.",Vanish,3043700012127,2012,8/9/2019,Available,0
F JOS,"Josephson, Kalyn.",The storm crow,,2019,8/28/2020,Follett eBook,0
F JOY,"Joy, Amanda,",A river of royal blood,3043700016303,2019,5/20/2020,Available,0
F JOY,"Joyce, James, 1882-1941,",A portrait of the artist as a young man,3043700010878,2016,8/9/2019,Available,0
F JUB,"Juby, Susan, 1969-","The fashion committee : a novel of art, crime, and applied design",3043700008913,2017,8/9/2019,Available,0
F JUB,"Juby, Susan, 1969-","Getting the girl : a guide to private investigation, surveillance, and cookery",3043700009502,2010,8/9/2019,Available,0
F JUD,"Jude, Sarah.",The May Queen murders,3043700012925,2016,12/5/2019,Available,1
F JUD,"Judge, Lita,","Mary's monster : love, madness, and how Mary Shelley created Frankenstein",3043700013359,2018,12/5/2019,Available,0
F JUL,by William Shakespeare.,Julius Caesar,3043700012866,2001,12/5/2019,Available,0
F JUR,"Jury, Walter.",Scan,3043700011255,2015,8/9/2019,Available,0
F JUS,"Juster, Norton, 1929-",The annotated Phantom tollbooth,3043700003240,2011,8/9/2019,Available,0
F JUS,"Justesen, Kim Williams,",The deepest blue,3043700008724,2013,8/9/2019,Available,0
F KAC,"Kacer, Kathy, 1954-",Stones on a grave,3043700011712,2015,8/9/2019,Available,0
F KAC,"Kacvinsky, Katie.",Awaken,3043700003341,2011,8/9/2019,Available,0
F KAC,"Kacvinsky, Katie,",Middle ground,3043700012935,2012,12/5/2019,Available,0
F KAC,"Kaczynski, Heather.",Dare mighty things,3043700013617,2017,12/5/2019,Available,0
F KAD,"Kadarusman, Michelle,",Out of it,3043700010772,2015,8/9/2019,Available,0
F KAD,"Kade, Stacey.",Finding Felicity,3043700008971,2018,8/9/2019,Available,0
F KAD,"Kade, Stacey,",For this life only,3043700009328,2016,8/9/2019,Available,0
F KAD,"Kadohata, Cynthia.",Cracker! : the best dog in Vietnam,3043700008526,2007,8/9/2019,Available,1
F KAD,"Kadohata, Cynthia.",Kira-kira,3043700010093,2004,8/9/2019,Available,0
F KAD,"Kadohata, Cynthia.",Outside beauty,3043700010787,2008,8/9/2019,Available,0
F KAG,"Kagawa, Julie.",The eternity cure,3043700015250,2013,12/5/2019,Available,0
F KAG,"Kagawa, Julie.",The forever song,3043700012744,2014,12/5/2019,Available,0
F KAG,"Kagawa, Julie.",Inferno,3043700009949,2018,8/9/2019,Available,0
F KAG,"Kagawa, Julie.",The iron daughter,3043700009980,2010,8/9/2019,Available,0
F KAG,"Kagawa, Julie.",The Iron King,3043700009982,2010,8/9/2019,Available,0
F KAG,"Kagawa, Julie.",The Iron Knight,3043700009983,2011,8/9/2019,Available,0
F KAG,"Kagawa, Julie.",The iron queen,3043700009984,2011,8/9/2019,Available,0
F KAG,"Kagawa, Julie.",The iron traitor,3043700009985,2013,8/9/2019,Available,0
F KAG,"Kagawa, Julie.",The iron warrior,3043700009986,2015,8/9/2019,Available,0
F KAG,"Kagawa, Julie.",Legion,3043700010199,2017,8/9/2019,Available,0
F KAG,"Kagawa, Julie.",The lost prince,3043700010336,2012,8/9/2019,Available,1
F KAG,"Kagawa, Julie,",Rogue,3043700011154,2015,8/9/2019,Available,0
F KAG,"Kagawa, Julie.",Shadow of the fox,3043700011378,2018,8/9/2019,Available,0
F KAG,"Kagawa, Julie.",Soldier,3043700011567,2016,8/9/2019,Available,1
F KAG,"Kagawa, Julie,",Talon,3043700011814,2014,8/9/2019,Available,0
F KAH,"Kahaney, Amelia,",The brokenhearted,3043700008295,2013,8/9/2019,Available,1
F KAH,"Kahaney, Amelia,",The invisible,3043700009979,2014,8/9/2019,Available,0
F KAH,"Kahler, A. R.",Echoes of memory,3043700009135,2017,8/9/2019,Available,0
F KAH,"Kahler, A. R.",Runebinder,3043700011198,2017,8/9/2019,Available,1
F KAH,"Kahler, A. R.,",Runebreaker,3043700011199,2018,8/9/2019,Available,1
F KAH,"Kahler, A. R.,",Shades of darkness,3043700011366,2016,8/9/2019,Available,0
F KAL,"Kalogridis, Jeanne,",The orphan of florence,3043700012999,2017,12/5/2019,Available,0
F KAN,"Kanakia, Rahul.",Enter title here,,2016,9/26/2019,Follett eBook,0
F KAN,"Kanakia, Rahul,",Enter title here,3043700009217,2017,8/9/2019,Available,1
F KAN,"Kang, Lydia.",Control,3043700014453,2015,12/5/2019,Available,0
F KAN,"Kann, Claire,",Let's talk about love,3043700010213,2018,8/9/2019,Available,0
F KAN,"Kanoh, Arata,",Your name : another side: earthbound,3043700012521,2017,8/9/2019,Available,0
F KAN,"Kanter, Marisa,",What I like about you,3043700017201,2020,12/14/2020,Checked Out,3
